Date,Open,High,Low,Close/Last,Adj. Close,Volume
31-Aug-15,"4,673.61","4,960.87","4,487.06","4,620.16","4,620.16","41,503,920,000"
31-Jul-15,"5,134.34","5,175.26","4,292.14","4,776.51","4,776.51","43,408,300,000"
30-Jun-15,"5,029.05","5,231.94","4,901.51","5,128.28","5,128.28","40,633,420,000"
31-May-15,"5,094.94","5,164.36","4,956.23","4,986.87","4,986.87","41,338,820,000"
30-Apr-15,"4,966.32","5,111.54","4,888.17","5,070.03","5,070.03","35,994,540,000"
31-Mar-15,"4,894.36","5,119.83","4,844.39","4,941.42","4,941.42","37,409,760,000"
1-Mar-15,"4,973.43","5,042.14","4,825.93","4,900.88","4,900.88","41,204,240,000"
1-Feb-15,"4,650.60","4,989.25","4,580.46","4,963.53","4,963.53","35,773,090,000"
1-Jan-15,"4,760.24","4,777.01","4,563.11","4,635.24","4,635.24","38,719,030,000"
1-Dec-14,"4,777.73","4,814.95","4,547.31","4,736.05","4,736.05","39,587,090,000"
31-Oct-14,"4,633.71","4,810.86","4,594.92","4,791.63","4,791.63","32,967,990,000"
30-Sep-14,"4,486.65","4,641.51","4,116.60","4,630.74","4,630.74","50,136,190,000"
31-Aug-14,"4,592.42","4,610.57","4,464.44","4,493.39","4,493.39","39,631,130,000"
31-Jul-14,"4,363.39","4,580.27","4,321.89","4,580.27","4,580.27","33,417,300,000"
30-Jun-14,"4,424.71","4,485.93","4,351.04","4,369.77","4,369.77","39,536,410,000"
31-May-14,"4,247.96","4,417.46","4,207.61","4,408.18","4,408.18","40,249,370,000"
30-Apr-14,"4,121.25","4,252.08","4,021.05","4,242.62","4,242.62","39,290,130,000"
31-Mar-14,"4,219.87","4,286.09","3,946.03","4,114.56","4,114.56","44,391,220,000"
1-Mar-14,"4,261.42","4,371.71","4,131.81","4,198.99","4,198.99","46,796,180,000"
1-Feb-14,"4,105.06","4,342.59","3,968.19","4,308.12","4,308.12","39,978,180,000"
1-Jan-14,"4,160.03","4,246.55","4,044.76","4,103.88","4,103.88","45,227,610,000"
1-Dec-13,"4,065.66","4,177.73","3,979.59","4,176.59","4,176.59","37,139,280,000"
31-Oct-13,"3,932.45","4,069.70","3,855.07","4,059.89","4,059.89","35,818,470,000"
30-Sep-13,"3,774.18","3,966.71","3,650.03","3,919.71","3,919.71","43,017,190,000"
31-Aug-13,"3,622.64","3,798.76","3,593.62","3,771.48","3,771.48","34,997,740,000"
31-Jul-13,"3,654.18","3,694.19","3,573.57","3,589.87","3,589.87","32,934,650,000"
30-Jun-13,"3,430.48","3,649.35","3,415.23","3,626.37","3,626.37","35,889,520,000"
31-May-13,"3,460.76","3,488.31","3,294.95","3,403.25","3,403.25","37,528,250,000"
30-Apr-13,"3,325.35","3,532.04","3,296.50","3,455.91","3,455.91","39,144,080,000"
31-Mar-13,"3,268.63","3,328.79","3,154.96","3,328.79","3,328.79","36,904,330,000"
1-Mar-13,"3,143.54","3,270.30","3,129.40","3,267.52","3,267.52","33,749,180,000"
1-Feb-13,"3,162.94","3,213.60","3,105.36","3,160.19","3,160.19","35,765,430,000"
1-Jan-13,"3,091.33","3,164.06","3,076.60","3,142.13","3,142.13","39,027,620,000"
1-Dec-12,"3,029.21","3,061.82","2,951.04","3,019.51","3,019.51","33,522,490,000"
31-Oct-12,"2,987.54","3,033.85","2,810.80","3,010.24","3,010.24","36,894,240,000"
30-Sep-12,"3,130.31","3,171.46","2,961.16","2,977.23","2,977.23","36,367,020,000"
31-Aug-12,"3,063.25","3,196.93","3,040.24","3,116.23","3,116.23","33,719,730,000"
31-Jul-12,"2,956.72","3,100.54","2,890.85","3,066.96","3,066.96","35,708,950,000"
30-Jun-12,"2,938.41","2,987.94","2,837.72","2,939.52","2,939.52","34,686,680,000"
31-May-12,"2,810.13","2,942.28","2,726.68","2,935.05","2,935.05","37,458,650,000"
30-Apr-12,"3,044.79","3,085.40","2,774.45","2,827.34","2,827.34","40,115,930,000"
31-Mar-12,"3,085.94","3,128.25","2,946.04","3,046.36","3,046.36","33,793,990,000"
1-Mar-12,"2,979.11","3,134.17","2,900.28","3,091.57","3,091.57","36,686,310,000"
1-Feb-12,"2,830.10","3,000.11","2,825.19","2,966.89","2,966.89","37,728,460,000"
1-Jan-12,"2,657.39","2,834.30","2,627.23","2,813.84","2,813.84","35,325,900,000"
1-Dec-11,"2,615.67","2,674.53","2,518.01","2,605.15","2,605.15","33,177,490,000"
31-Oct-11,"2,607.31","2,730.39","2,441.48","2,620.34","2,620.34","38,397,210,000"
30-Sep-11,"2,401.19","2,753.37","2,298.89","2,684.41","2,684.41","42,787,830,000"
31-Aug-11,"2,583.34","2,643.37","2,414.31","2,415.40","2,415.40","42,996,470,000"
31-Jul-11,"2,791.45","2,796.24","2,331.65","2,579.46","2,579.46","56,977,870,000"
30-Jun-11,"2,775.08","2,878.94","2,724.99","2,756.38","2,756.38","37,282,980,000"
31-May-11,"2,829.39","2,834.05","2,599.86","2,773.52","2,773.52","42,570,710,000"
30-Apr-11,"2,881.28","2,887.75","2,739.85","2,835.30","2,835.30","42,067,110,000"
31-Mar-11,"2,796.67","2,876.83","2,706.50","2,873.54","2,873.54","38,024,600,000"
1-Mar-11,"2,791.08","2,802.32","2,603.50","2,781.07","2,781.07","45,049,990,000"
1-Feb-11,"2,717.61","2,840.51","2,705.54","2,782.27","2,782.27","39,225,340,000"
1-Jan-11,"2,676.65","2,766.17","2,663.64","2,700.08","2,700.08","40,221,760,000"
1-Dec-10,"2,535.19","2,675.26","2,535.19","2,652.87","2,652.87","36,306,890,000"
31-Oct-10,"2,520.45","2,592.94","2,459.79","2,498.23","2,498.23","40,893,560,000"
30-Sep-10,"2,386.82","2,517.50","2,332.46","2,507.41","2,507.41","41,539,760,000"
31-Aug-10,"2,142.75","2,400.06","2,141.95","2,368.62","2,368.62","41,586,870,000"
